Country.Name	gini_index	pop_living_slums	poverty_headcount_1.9	rural_poverty_headcount	SI.DST.02ND.20	SI.DST.03RD.20	SI.DST.04TH.20	SI.DST.05TH.20	SI.DST.10TH.10	SI.DST.FRST.10	SI.DST.FRST.20	SI.POV.2DAY	SI.POV.GAP2	SI.POV.GAPS	SI.POV.NAGP	SI.POV.NAHC	SI.POV.RUGP	SI.POV.URGP	SI.SPR.PC40	SI.SPR.PC40.ZG	SI.SPR.PCAP	SI.SPR.PCAP.ZG	urban_poverty_headcount
Tanzania	37.78	50.7	46.6	33.3	11.14	14.95	20.72	45.83	30.95	3.09	7.37	76.1	33.57	14.35	6.7	28.2	7.8	3.9	1.23	3.3586	2.67	1.4181	15.5
Thailand	37.85	25	0.04	13.9	10.79	15.09	22.07	45.12	29.23	2.88	6.93	0.92	0.12	0	NA	10.5	NA	NA	6.54	4.8862	14.77	3.4725	7.7
Timor-Leste	31.56	NA	46.76	51.5	12.64	16.1	21.34	40.94	26.66	3.88	8.99	80.01	32.86	12.09	10.4	41.8	14.2	11.8	NA	NA	NA	NA	45.2
Togo	46.02	51.2	54.18	68.7	8.68	13.41	21.47	51.61	34.53	1.91	4.83	74.54	39.54	23.21	22.1	55.1	29.2	12.4	0.99	2.7578	2.71	0.8183	35.9
Tonga	38.1	NA	1.09	NA	10.93	15.37	21.96	45.15	29.39	2.62	6.58	8.19	1.84	0.23	NA	22.5	NA	NA	NA	NA	NA	NA	NA
Trinidad and Tobago	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tunisia	35.81	8	1.99	NA	11.6	16.14	22.62	42.92	27.03	2.6	6.73	8.41	2.11	0.4	3.9	15.5	NA	NA	NA	NA	NA	NA	NA
Turkey	40.18	11.9	0.33	5.1	10.49	15.15	21.95	46.58	30.58	2.21	5.84	2.62	0.54	0.06	NA	1.6	NA	NA	6.94	3.1834	17.01	3.536	0.6
Turkmenistan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Turks and Caicos Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tuvalu	41.1	NA	2.66	27.5	10.01	14.29	21.27	48.16	31.64	2.56	6.28	16.28	3.73	0.58	NA	26.3	NA	NA	NA	NA	NA	NA	24.8
Uganda	41.01	53.6	34.64	22.4	10.41	14.32	20.62	48.29	32.87	2.51	6.36	64.95	26.22	10.29	5.2	19.5	5.9	2.5	1.42	3.5933	3.39	1.3673	9.6
Ukraine	24.09	NA	0.01	NA	14.56	17.98	22.35	34.66	20.62	4.48	10.45	0.12	0.02	0	NA	6.4	NA	NA	7.89	3.9312	12.63	3.294	NA
United Arab Emirates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
United Kingdom	32.57	NA	NA	NA	12.29	17.04	23.1	40.07	24.66	2.94	7.51	NA	NA	NA	NA	NA	NA	NA	21.96	-1.6701	44.38	-2.7795	NA
United States	41.06	NA	NA	NA	10.29	15.44	22.71	46.44	30.19	1.7	5.1	NA	NA	NA	NA	NA	NA	NA	NA	-0.16	NA	-0.43	NA
Uruguay	41.6	NA	0.3	3	10.04	15.09	22.47	47.2	30.78	1.91	5.19	1.3	0.33	0.09	1.6	9.7	0.6	1.7	9.56	5.4766	25.12	2.9506	10.1
Uzbekistan	36.1	NA	68.07	NA	11.69	15.85	21.71	43.66	28.56	2.73	7.1	88.71	47.76	27.07	NA	14.1	NA	NA	NA	NA	NA	NA	NA
Vanuatu	37.19	NA	15.36	NA	11.29	15.7	22.16	44.17	28.92	2.69	6.7	38.8	12.75	3.73	NA	12.7	NA	NA	NA	NA	NA	NA	NA
Venezuela, RB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.1	NA	NA	NA	NA	NA	NA	NA
Vietnam	37.59	27.2	3.06	18.6	11.18	15.59	22.03	44.61	29.06	2.56	6.59	12.02	3.09	0.62	4.5	13.5	5.9	1	3.93	4.5077	8.24	1.9978	3.8
Virgin Islands (U.S.)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
West Bank and Gaza	34.46	NA	0.11	19.4	11.91	15.88	21.9	42.61	27.37	3.19	7.71	0.92	0.2	0.02	6	25.8	3.8	6.3	NA	NA	NA	NA	26.1
Yemen, Rep.	NA	60.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zambia	55.62	54	64.42	77.9	6.76	10.49	17.89	61.05	45.23	1.49	3.81	78.87	47.54	31.59	28	60.5	37.9	9.3	NA	NA	NA	NA	27.5
Zimbabwe	43.15	25.1	21.4	84.3	9.5	14.01	21.01	49.66	33.83	2.48	5.83	45.5	16.33	5.17	34.1	72.3	42.8	15.5	NA	NA	NA	NA	46.5
